MEM_NO,MEM_ID,MEM_NAME,MEM_PWD,MEM_TEL,MEM_EMAIL,MEM_ADDRESS,MEM_DETAIL_ADDRESS,MEM_ENROLLDATE,MEM_STATUS,MEM_DEL_DATE,MEM_DEL_DETAIL,MEM_ADS,MEM_BLOCK,MEM_REPORT
38,hgpp3533,오소채,pass01,012-5470-1087,bwfx262@petnolja.com,"	경기도 안산시 단원구 원선1로 38(초지동, 두산위브아파트)",803동 608호,2020-09-13,Y,,,Y,N,0
39,pnpz2360,방상향,pass01,012-3967-9157,bwkl995@petnolja.com,"	경기도 화성시 동탄지성로 334(반월동, 행림마을삼성래미안2차아파트)",601동 505호,2021-02-17,Y,,,Y,N,0
40,tlar4645,구준한,pass01,012-6517-8672,bwtu303@petnolja.com,"	인천광역시계양구계산로 171(계산동, 현대아파트)",202동 705호,2019-04-08,Y,,,Y,N,0
41,pkgt5703,장솔희,pass01,012-1758-6238,bwxt957@petnolja.com,"	서울특별시강동구동남로71길 41(명일동, 고덕현대아파트)",207동 1003호,2021-02-15,Y,,,Y,N,0
42,tdtn8864,민수당,pass01,012-7669-4365,bzkp334@petnolja.com,"	서울특별시용산구서빙고로 48(한강로3가, 철우아파트)",705동 609호,2019-10-09,Y,,,Y,N,0
43,mbwv8690,변세당,pass01,012-8537-4013,cakz345@petnolja.com,"	서울특별시서초구서리풀길 28(서초동, 서초힐하우스)",708동 807호,2019-10-22,Y,,,Y,N,0
44,foor8644,정명온,pass01,012-4438-7200,cbgi113@petnolja.com,"	경기도 구리시 원수택로32번길 70(수택동, 신원그린아파트)",506동 601호,2019-08-01,Y,,,Y,N,0
45,powy3324,우도교,pass01,012-5305-7724,ccsu239@petnolja.com,"	경기도 가평군 가평읍 중촌로 15-51(에코아파트)",308동 502호,2019-03-08,Y,,,Y,N,0
46,lxvw9896,손순하,pass01,012-8542-5240,cfed438@petnolja.com,"	서울특별시중랑구답십리로77길 139(면목동, 면목두산아파트)",807동 608호,2019-09-15,Y,,,Y,N,0
47,ooqf3276,표진정,pass01,012-8981-6829,cfve240@petnolja.com,"	경기도 부천시 경인로425번길 60(괴안동, 광명아파트)",205동 205호,2019-02-13,Y,,,Y,N,0
48,bmmh5435,민순휘,pass01,012-5137-3669,cgkn232@petnolja.com,"	서울특별시강서구마곡중앙1로 72(마곡동, 마곡엠밸리10단지)",306동 303호,2019-08-10,Y,,,N,N,0
49,raon4182,임초인,pass01,012-7151-9930,chpi957@petnolja.com,"	서울특별시서초구신반포로15길 19(반포동, 아크로리버파크)",704동 507호,2020-01-17,Y,,,Y,N,0
50,eter3149,문선린,pass01,012-6415-2471,cjof947@petnolja.com,"	경기도 광주시 벼루개길42번길 24-4(태전동, 힐스테이트 태전2차 에듀포레)",404동 308호,2021-04-16,Y,,,N,N,0
51,bohe3745,차시린,pass01,012-3869-9247,cqip315@petnolja.com,"	서울특별시금천구탑골로2길 24(시흥동, 금광포란재아파트)",709동 1004호,2020-09-24,Y,,,N,N,0
52,hwrr4546,전고지,pass01,012-5145-8143,cqvg746@petnolja.com,"	서울특별시관악구낙성대로15길 66(봉천동, 인헌아파트)",505동 207호,2021-02-09,Y,,,Y,N,0
53,vilb9959,우여림,pass01,012-2239-5618,crhf98@petnolja.com,"	인천광역시부평구부흥북로36번길 16(부평동, 금호아파트)",604동 801호,2021-03-31,Y,,,Y,N,0
54,unqk9586,탁준정,pass01,012-9424-3594,csju433@petnolja.com,"	서울특별시노원구노원로1길 121(공릉동, 청수대)",908동 503호,2019-07-01,Y,,,Y,N,0
55,qqxb5634,석휘효,pass01,012-3047-1501,ctgw277@petnolja.com,"	경기도 남양주시 별내3로 23(별내동, 미리내마을 4-4단지)",803동 609호,2020-10-14,Y,,,Y,N,0
56,qyea2902,문태원,pass01,012-8847-4783,cyvm415@petnolja.com,"	경기도 화성시 동탄기흥로 479-12(오산동, 동탄역 반도유보라 아이비파크6.0)",1005동 805호,2020-06-11,Y,,,Y,N,0
57,jhbh5525,손양옥,pass01,012-2848-6717,dbvm294@petnolja.com,"	인천광역시미추홀승학길104번길 30(주안동, 인천주안한신휴플러스)",305동 406호,2020-03-19,Y,,,Y,N,0
58,zfre4134,진명비,pass01,012-5754-3341,dczx461@petnolja.com,"	경기도 용인시 처인구 포곡읍 전대로120번길 7-9(보성아파트)",105동 709호,2020-04-25,N,2020-06-09,테스트용으로 희생됨,Y,N,0
59,njmg1417,신순서,pass01,012-7184-6512,dfgg61@petnolja.com,"	서울특별시은평구진흥로 267(불광동, 북한산래미안아파트)",204동 707호,2019-10-26,Y,,,Y,N,0
60,cgig6248,석희연,pass01,012-9719-5320,dgse970@petnolja.com,"	경기도 남양주시 와부읍 도심길 23-1(우송아파트)",501동 801호,2020-11-27,Y,,,N,N,0
61,rtwv9987,박슬윤,pass01,012-4072-5001,ditt986@petnolja.com,"	경기도 성남시 중원구 시민로 25(하대원동, 주원아파트)",1008동 1005호,2019-02-28,Y,,,Y,N,0
62,dhwc7307,이고옥,pass01,012-5052-7329,djfz233@petnolja.com,"	경기도 시흥시 대은로103번길 4(대야동, 동신아파트)",409동 1005호,2019-02-15,Y,,,N,N,0
63,bygx2442,여초운,pass01,012-6480-9047,djzd134@petnolja.com,"	서울특별시강서구공항대로61길 60(염창동, 태영송화아파트)",509동 1001호,2021-01-01,Y,,,N,N,0
64,tziq1937,류소미,pass01,012-4209-2758,dmvq192@petnolja.com,"	경기도 용인시 수지구 동천로153번길 6(동천동, 한빛마을 래미안 이스트팰리스 4단지)",809동 907호,2020-12-24,Y,,,Y,N,0
65,ymcr4076,우병예,pass01,012-4594-1491,dncf804@petnolja.com,"	서울특별시서초구청두곶길 14(방배동, 두원아파트)",904동 809호,2019-03-23,Y,,,Y,N,0
66,rgao5599,남현비,pass01,012-8793-1584,dnxc195@petnolja.com,"	경기도 파주시 정담길 85-7(금촌동, 동문아파트)",903동 409호,2019-07-29,Y,,,Y,N,0
67,drfm8666,표아효,pass01,012-5375-8827,dpiu751@petnolja.com,"	서울특별시서초구주흥3길 17(반포동, 반포쎄레노아파트)",102동 909호,2021-01-04,Y,,,N,N,0
68,fxav8367,양서름,pass01,012-9957-1383,dpuc507@petnolja.com,"	경기도 안산시 단원구 신길로 50(신길동, 휴먼시아)",904동 904호,2020-12-30,Y,,,Y,N,0
69,vpdh8137,여솔채,pass01,012-7474-3688,dvnf638@petnolja.com,"	서울특별시중랑구망우로 500(망우동, 다우하임 아파트)",106동 1006호,2020-09-02,Y,,,Y,N,0
70,jpby1487,탁성하,pass01,012-4715-6943,dwmi280@petnolja.com,"	경기도 안양시 만안구 예술공원로64번길 28(안양동, 신라아파트)",903동 203호,2019-12-14,Y,,,Y,N,0
71,qucp5083,안슬인,pass01,012-7088-6812,dxys216@petnolja.com,"	서울특별시용산구이촌로14길 11-6(이촌동, 시범아파트)",608동 305호,2019-08-22,Y,,,Y,N,0
72,thbe1008,나슬리,pass01,012-8444-5858,dzfu191@petnolja.com,"	경기도 용인시 기흥구 이현로29번길 72-41(보정동, 성호샤인힐즈아파트)",905동 104호,2020-04-26,Y,,,Y,N,0
73,ogfw42,허초현,pass01,012-7057-6480,eaab519@petnolja.com,"	경기도 고양시 덕양구 오부자로 43(지축동)",304동 908호,2020-12-04,Y,,,Y,N,0
74,fpws7757,차경당,pass01,012-5604-9470,eaap397@petnolja.com,"	경기도 남양주시 진접읍 해밀예당1로 51(자연앤어울림아파트)",603동 501호,2019-10-19,Y,,,Y,N,0
75,rklc5335,장나예,pass01,012-8356-8087,eacx696@petnolja.com,"	서울특별시강서구화곡로59길 59(화곡동, 올림푸스아파트)",808동 808호,2019-05-15,Y,,,Y,N,0
76,refe6773,하한기,pass01,012-1108-2855,eaqs763@petnolja.com,"	서울특별시도봉구마들로 657(방학동, 이에스에이아파트)",502동 703호,2020-03-30,Y,,,Y,N,0
77,uvua8773,방서솔,pass01,012-6326-9947,ebag449@petnolja.com,"	경기도 오산시 내삼미로 109(내삼미동, 삼미마을16단지아파트)",408동 907호,2020-01-05,Y,,,Y,N,0
78,jjpr889,오이연,pass01,012-5378-6878,ehai581@petnolja.com,"	경기도 파주시 금릉이길 55(금릉동, 진달래)",905동 608호,2020-02-19,Y,,,Y,N,0
79,pkvb8863,주재향,pass01,012-7860-2539,ehif62@petnolja.com,"	경기도 평택시 상서재로 55(동삭동, 평택센트럴자이 3단지)",207동 903호,2020-10-25,Y,,,Y,N,0
80,wdkr52,강미당,pass01,012-6366-1008,ehwr78@petnolja.com,"	서울특별시송파구오금로44길 47(가락동, 동궁리치웰아파트)",708동 907호,2020-07-26,Y,,,Y,N,0
81,eukf9090,주도온,pass01,012-8000-9720,ejcm418@petnolja.com,"	경기도 시흥시 미산로69번길 4(미산동, 상아그린아파트)",707동 504호,2020-01-16,Y,,,N,N,0
82,rmrm6806,나한당,pass01,012-4527-1695,eqjn302@petnolja.com,"	서울특별시구로구새말로9길 22(구로동, 일신건영아파트)",307동 409호,2020-10-08,Y,,,Y,N,0
83,dmng1868,최희신,pass01,012-3852-6162,etgi667@petnolja.com,"	서울특별시강서구등촌로13자길 51(화곡동, 미주아파트)",203동 505호,2020-06-13,Y,,,N,N,0
84,xsbv2077,신초세,pass01,012-7190-5376,eupu491@petnolja.com,"	인천광역시남동구용천로 177(간석동, 리더스아파트)",504동 1006호,2020-04-15,Y,,,Y,N,0
85,nfkn5306,배의한,pass01,012-1774-9103,eyzj951@petnolja.com,"	서울특별시강동구풍성로38길 22(성내동, 성내동삼성아파트)",703동 109호,2019-04-18,Y,,,Y,N,0
86,pglj322,양김수,pass01,012-5925-7174,ezhe337@petnolja.com,"	경기도 평택시 매봉산1길 16(비전동, 동아동백아파트)",706동 606호,2019-12-15,Y,,,Y,N,0
87,fhtq1052,전지언,pass01,012-4034-4050,ezno972@petnolja.com,"	경기도 수원시 영통구 삼성로 308(원천동, 신미주아파트)",909동 407호,2019-06-18,N,2019-08-02,테스트용으로 희생됨,Y,N,0
88,fdly8154,조슬수,pass01,012-5621-7565,fbfb305@petnolja.com,"	인천광역시부평구시장로79번길 30(부평동, 플러스아파트)",509동 301호,2021-03-07,Y,,,Y,N,0
89,yznx4247,유하준,pass01,012-3561-8146,feim606@petnolja.com,"	서울특별시노원구섬밭로 134(공릉동, 풍림아파트)",302동 208호,2020-04-01,Y,,,Y,N,0
90,bdnr9837,변진나,pass01,012-2411-5744,fesf777@petnolja.com,"	인천광역시남동구구월말로4번길 5(구월동, 벽산아파트)",701동 404호,2021-04-13,Y,,,N,N,0
91,hvbg4149,신도빈,pass01,012-8320-1586,ffos427@petnolja.com,"	서울특별시용산구독서당로 46(한남동, 한남아이파크)",801동 409호,2021-02-14,Y,,,Y,N,0
92,rrtf8198,차민정,pass01,012-2951-6962,fhkn74@petnolja.com,"	서울특별시은평구응암로21가길 21(응암동, 삼성맨션)",508동 104호,2019-02-18,Y,,,Y,N,0
93,iidd8835,하혜임,pass01,012-2204-1686,fihn937@petnolja.com,"	서울특별시강동구올림픽로78길 11-29(천호동, 다성시티아파트)",901동 302호,2020-07-25,Y,,,Y,N,0
94,okyd1761,지나정,pass01,012-9277-6992,fjrq925@petnolja.com,"	경기도 성남시 분당구 정자로 56(정자동, 상록마을라이프1단지아파트)",803동 405호,2019-02-21,Y,,,Y,N,0
95,febm2421,신준휘,pass01,012-8863-7038,fmly726@petnolja.com,"	서울특별시강남구광평로10길 6(일원동, 한솔마을아파트)",909동 405호,2020-10-09,Y,,,Y,N,0
96,himh7698,여서름,pass01,012-1216-4401,fnpp812@petnolja.com,"	경기도 부천시 상오정로182번길 21(원종동, 5차 동문아파트)",405동 608호,2019-08-29,Y,,,Y,N,0
97,rrtb5490,도김예,pass01,012-8402-2770,fode443@petnolja.com,"	경기도 부천시 경인로26번길 21(송내동, 삼우A.P.T)",405동 906호,2019-04-05,Y,,,Y,N,0
98,cohq3293,문태경,pass01,012-1685-1691,fohj6@petnolja.com,"	서울특별시구로구도림로6길 9(구로동)",703동 109호,2019-12-09,Y,,,N,N,0
99,xonu3267,우김준,pass01,012-4583-6376,fpay38@petnolja.com,"	경기도 양주시 백석읍 호명로 87(샘터마을 태영아파트)",204동 1004호,2020-08-28,Y,,,Y,N,0
100,yjbu4118,정원경,pass01,012-4272-2640,fpqa58@petnolja.com,"	경기도 고양시 일산동구 중앙로 1129(장항동, 호수마을1단지아파트)",501동 106호,2020-04-05,Y,,,Y,N,0
101,rrbm8672,신정호,pass01,012-3309-1320,frfs860@petnolja.com,"	서울특별시구로구구일로8길 92(구로동, 중앙구로하이츠아파트)",309동 903호,2019-03-18,Y,,,Y,N,0
102,wymp8767,배나림,pass01,012-7880-6371,ftaq365@petnolja.com,"	경기도 화성시 동탄순환대로10길 42(산척동)",702동 603호,2019-04-10,Y,,,Y,N,0
103,awth3947,고조은,pass01,012-7002-4004,ftqg838@petnolja.com,"	경기도 의정부시 가금로34번길 23(가능동, 힐스테이트 녹양역)",1006동 1001호,2019-12-02,Y,,,N,N,0
104,ibdn784,임지유,pass01,012-9102-8601,ftwy959@petnolja.com,"	서울특별시도봉구덕릉로 371(창동, 대우그린아파트)",901동 1005호,2019-04-21,Y,,,Y,N,0
105,ghse8875,장연정,pass01,012-4350-4466,futx604@petnolja.com,"	경기도 고양시 일산서구 강성로 256(대화동, 성저마을2단지아파트)",607동 606호,2019-04-06,Y,,,Y,N,0
106,yngi6647,박상옥,pass01,012-3076-5160,fvkk13@petnolja.com,"	경기도 오산시 수청로 121(금암동, 죽미마을휴먼시아꿈에그린11단지아파트)",506동 908호,2020-12-18,Y,,,Y,N,0
107,umwh1468,편은유,pass01,012-8080-8967,fwou744@petnolja.com,"	경기도 수원시 권선구 세권로 140(세류동, 해피하임아파트)",502동 905호,2020-10-16,Y,,,Y,N,0
108,opca6938,구김하,pass01,012-2516-2211,fwoz107@petnolja.com,"	경기도 용인시 수지구 상현로 152(상현동, 수지 휴엔하임 아파트)",1007동 505호,2020-10-12,Y,,,Y,N,0
109,atwh1516,곽희서,pass01,012-7233-5439,fzde450@petnolja.com,"	경기도 의정부시 호국로1298번길 19-17(의정부동, 예체뜰안)",702동 806호,2019-07-22,Y,,,N,N,0
110,tcgt1766,황비미,pass01,012-9113-8680,fzyg725@petnolja.com,"	경기도 남양주시 진접읍 금강로 1554-20(휴먼시아)",809동 1006호,2020-02-08,Y,,,Y,N,0
111,hihb661,방규진,pass01,012-4557-2869,ganq604@petnolja.com,"	경기도 김포시 사우중로74번길 12(사우동, 풍년마을동양신명아파트)",801동 1008호,2020-03-14,Y,,,Y,N,0
112,jfjt4255,원영나,pass01,012-6380-9498,gelw320@petnolja.com,"	서울특별시강남구봉은사로109길 66-1(삼성동, 시티아파트)",902동 505호,2021-03-30,Y,,,Y,N,0
113,ocgs7849,황순원,pass01,012-9851-1402,geqb879@petnolja.com,"	경기도 성남시 분당구 돌마로486번길 7(서현동, 효자촌동아아파트)",603동 801호,2019-11-22,Y,,,Y,N,0
114,uibq4976,여송하,pass01,012-1456-8510,gfzp274@petnolja.com,"	경기도 고양시 일산서구 고양대로 685(일산동, 일산1차현대홈타운)",207동 304호,2020-08-12,Y,,,Y,N,0
115,sdwj27,고고옥,pass01,012-9257-7835,ghoo178@petnolja.com,"	인천광역시미추홀경인북길485번길 40(도화동, 쑥골마을아파트)",307동 709호,2020-06-27,Y,,,Y,N,0
116,njlk1358,류태언,pass01,012-7306-9861,gilx306@petnolja.com,"	경기도 고양시 덕양구 대양로 317-11(고양동, 신풍주택)",1009동 701호,2020-08-06,Y,,,Y,N,0
117,gvyj9412,황하진,pass01,012-1779-9186,gipw865@petnolja.com,"	서울특별시구로구도림로6길 36(구로동)",208동 207호,2019-03-01,Y,,,Y,N,0
118,tbyg5879,송민송,pass01,012-2246-6260,gjrx688@petnolja.com,"	경기도 양주시 평화로1970번길 6(봉양동, 늘푸른마을아파트)",503동 1006호,2020-10-03,Y,,,Y,N,0
119,fbrz9561,방시래,pass01,012-5150-6402,gorn891@petnolja.com,"	경기도 성남시 수정구 위례순환로 17(창곡동, 위례31단지)",604동 709호,2021-02-18,Y,,,N,N,0
120,sqlx5751,변하수,pass01,012-8994-2088,gpqg571@petnolja.com,"	서울특별시서대문북아현로 29(북아현동, e편한세상신촌 3단지)",703동 909호,2019-04-28,Y,,,Y,N,0
121,yqre7873,송여율,pass01,012-9040-9412,gpsp292@petnolja.com,"	서울특별시서대문통일로37나길 52(홍제동, 동일아파트5차)",1005동 307호,2019-01-01,N,2019-02-15,테스트용으로 희생됨,Y,N,0
122,blur4413,류솔완,pass01,012-1342-9050,gqgj574@petnolja.com,"	경기도 부천시 소사로 855(원종동, 세창짜임아파트)",702동 809호,2021-02-02,Y,,,N,N,0
123,ttpn9523,임승임,pass01,012-5882-8051,gsxt39@petnolja.com,"	서울특별시노원구덕릉로118길 29(상계동, 불암현대아파트)",601동 803호,2020-10-19,Y,,,Y,N,0
124,etsq4622,홍휘늘,pass01,012-1991-6101,gtxp304@petnolja.com,"	인천광역시미추홀낙섬중로 20(용현동, 한양아파트)",305동 507호,2019-10-30,Y,,,N,N,0
125,wluv9184,이규예,pass01,012-5046-8193,gvod171@petnolja.com,"	서울특별시강동구상암로 210-32(명일동, 에스엠해그린아파트)",905동 504호,2021-01-08,Y,,,Y,N,0
126,uunt5523,양서윤,pass01,012-1400-3709,gvqg678@petnolja.com,"	서울특별시관악구봉천로33길 8(봉천동)",605동 204호,2019-05-07,Y,,,Y,N,0
127,mrpz9819,배소성,pass01,012-7584-4718,gxgo883@petnolja.com,"	서울특별시동대문정릉천동로 58(용두동, 롯데캐슬피렌체)",203동 701호,2020-04-24,Y,,,Y,N,0
128,rfmr9732,장은란,pass01,012-6129-8829,hase48@petnolja.com,"	경기도 부천시 장말로 253(중동, 라비앙힐스)",109동 1003호,2019-10-17,Y,,,Y,N,0
129,hceo8597,박규호,pass01,012-6078-8480,hbdh525@petnolja.com,"	서울특별시강남구도곡로69길 16(대치동, 청원아파트)",1002동 202호,2020-10-17,Y,,,Y,N,0
130,ceoq4581,민고성,pass01,012-2382-7203,hbgf973@petnolja.com,"	서울특별시성동구금호로 140(금호동1가, 이편한세상금호파크힐스)",501동 101호,2020-07-21,Y,,,N,N,0
131,ddjn6334,원수윤,pass01,012-9846-6669,hbzg398@petnolja.com,"	경기도 화성시 동탄대로1길 96(장지동, 엔에이치에프엘크루)",904동 905호,2019-04-19,Y,,,N,N,0
132,hfab6932,김현옥,pass01,012-6791-8641,hdug263@petnolja.com,"	서울특별시강동구양재대로91나길 44(성내동, 삼진아파트)",807동 207호,2019-09-23,Y,,,Y,N,0
133,fweu1460,강연안,pass01,012-9943-9745,hgle481@petnolja.com,"	경기도 구리시 원수택로32번길 75(수택동, 성경훼미리아파트)",1005동 701호,2020-01-25,Y,,,Y,N,0
134,ceue7801,신지현,pass01,012-3430-5767,hgnk382@petnolja.com,"	서울특별시송파구위례성대로 114(방이동, 대양코리아나타워)",107동 105호,2019-02-03,Y,,,N,N,0
135,tdqo9331,탁가호,pass01,012-7207-0660,hhzg735@petnolja.com,"	서울특별시구로구구로동로28길 64-12(구로동, 남촌홈타운)",505동 304호,2020-12-09,Y,,,Y,N,0
136,zgtz984,신도래,pass01,012-3980-7056,hlnr148@petnolja.com,"	인천광역시서구 가정로223번길 27(석남동, 석남 금호어울림)",603동 301호,2019-01-25,Y,,,Y,N,0
137,ildx5619,박연온,pass01,012-5473-3349,hnwt816@petnolja.com,"	경기도 의정부시 능곡로 70(신곡동, 으뜸마을신명아파트)",1009동 606호,2021-03-15,Y,,,Y,N,0
138,jmse5318,서다예,pass01,012-1105-5711,hoeo246@petnolja.com,"	서울특별시금천구문성로 10(독산동, 동은노보빌아파트)",204동 408호,2019-08-23,Y,,,Y,N,0
139,guvk2777,송기소,pass01,012-9214-1326,hokw795@petnolja.com,"	서울특별시관악구조원로12길 28(신림동, 늘푸른아파트)",705동 302호,2020-12-02,Y,,,Y,N,0
140,cryf6504,류근선,pass01,012-9130-5778,hqhl346@petnolja.com,"	경기도 의정부시 신흥로 57-14(호원동, 호원동한승미메이드아파트)",905동 208호,2019-05-11,Y,,,N,N,0
141,pzgp1947,양시주,pass01,012-6573-6226,hspf901@petnolja.com,"	서울특별시동대문답십리로56길 105(답십리동, 답십리파크자이)",806동 102호,2020-05-02,Y,,,Y,N,0
142,wvcx3070,허다경,pass01,012-7118-8905,htvt474@petnolja.com,"	서울특별시강북구도봉로76가길 15(미아동, 이너스내안에아파트)",309동 708호,2020-04-21,Y,,,Y,N,0
